Group,REC,YDS,AVG,TD,LNG,CAR,YDS.1,AVG.1,TD.1,LNG.1,FUM,LST,Player Name,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,PD,PUNTS,TB,TB%,IN20,IN20%,ATT,NET,CMP,CMP%,RTG
vs AFC,,0,0.0,0.0,1,,,,,,,,K'Waun Williams,28.0,21.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,,,,,,,,,,
vs NFC,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,16.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs Div,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,15.0,12.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,
vs AFC,2.0,11,5.5,1.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lil'Jordan Humphrey,,,,,,,,,,,,,,,,,,,,,
vs NFC,1.0,4,4.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lil'Jordan Humphrey,,,,,,,,,,,,,,,,,,,,,
vs Div,2.0,11,5.5,1.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lil'Jordan Humphrey,,,,,,,,,,,,,,,,,,,,,
vs AFC,2.0,11,5.5,1.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lil'Jordan Humphrey,,,,,,,,,,,,,,,,,,,,,
vs NFC,1.0,4,4.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lil'Jordan Humphrey,,,,,,,,,,,,,,,,,,,,,
vs Div,2.0,11,5.5,1.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lil'Jordan Humphrey,,,,,,,,,,,,,,,,,,,,,
vs AFC,2.0,9,4.5,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Marvin Mims Jr.,,,,,,,,,,,,,,,,,,,,,
vs NFC,2.0,113,56.5,1.0,60,2.0,10.0,5.0,0.0,8.0,0.0,0.0,Marvin Mims Jr.,,,,,,,,,,,,,,,,,,,,,
vs Div,2.0,9,4.5,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Marvin Mims Jr.,,,,,,,,,,,,,,,,,,,,,
vs AFC,2.0,9,4.5,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Marvin Mims Jr.,,,,,,,,,,,,,,,,,,,,,
vs NFC,2.0,113,56.5,1.0,60,2.0,10.0,5.0,0.0,8.0,0.0,0.0,Marvin Mims Jr.,,,,,,,,,,,,,,,,,,,,,
vs Div,2.0,9,4.5,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Marvin Mims Jr.,,,,,,,,,,,,,,,,,,,,,
vs AFC,,0,0.0,0.0,0,,,,,,,,Matt Henningsen,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs NFC,,0,0.0,0.0,0,,,,,,,,Matt Henningsen,2.0,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,
vs Div,,0,0.0,0.0,0,,,,,,,,Matt Henningsen,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs AFC,1.0,0,0.0,0.0,0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,Michael Burton,,,,,,,,,,,,,,,,,,,,,
vs NFC,0.0,3,3.0,0.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Michael Burton,,,,,,,,,,,,,,,,,,,,,
vs Div,1.0,0,0.0,0.0,0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,Michael Burton,,,,,,,,,,,,,,,,,,,,,
vs AFC,,0,0.0,0.0,0,,,,,,,,Mike Purcell,3.0,0.0,3.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs NFC,,0,0.0,0.0,0,,,,,,,,Mike Purcell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
